Date,AAPL,GOOG,MSFT
2015-12-07,26.75966072,38.02586746,49.12979126
2015-12-08,26.74834633,37.98202515,49.11220551
2015-12-09,26.15785789,37.44595718,48.39915848
2015-12-10,26.28229141,37.33883667,48.65444183
2015-12-11,25.60583115,36.81122971,47.58927155
2015-12-14,25.4474659,37.25463867,48.53999329
2015-12-15,24.99725342,37.03691864,48.59282684
2015-12-16,25.18955421,37.7687912,49.41149902
2015-12-17,24.65562439,37.33734131,49.03297043
2015-12-18,23.98822403,36.83315659,47.65089798
2015-12-21,24.2823391,37.25463867,48.26710129
2015-12-22,24.25971222,37.36574173,48.72486115
2015-12-23,24.57191467,37.38118362,49.1385994
2015-12-24,24.44069862,37.286026,49.00656891
2015-12-28,24.16695213,37.98900223,49.25305176
2015-12-29,24.60133362,38.690979,49.78123093
2015-12-30,24.28007126,38.41197968,49.56997299
2015-12-31,23.81401825,37.80815506,48.83930206
2016-01-04,23.8343811,36.959198,48.24070358
2016-01-05,23.23710823,36.99606705,48.46076584
2016-01-06,22.78236389,37.04788208,47.58048248
2016-01-07,21.82084465,36.18946457,45.9254837
2016-01-08,21.93622398,35.59560394,46.06634903
2016-01-11,22.29141808,35.67332077,46.03993225
2016-01-12,22.61493874,36.17352676,46.46247482
2016-01-13,22.03350449,34.90258789,45.45893097
2016-01-14,22.51539421,35.60805511,46.75298691
2016-01-15,21.97469139,34.59818649,44.88674545
2016-01-19,21.86835289,34.963871,44.50819778
2016-01-20,21.89776039,34.79747009,44.71066284
2016-01-21,21.7869091,35.20301437,44.43778229
2016-01-22,22.94525528,36.13267136,46.03113556
2016-01-25,22.4973011,35.45610046,45.59098816
2016-01-26,22.6217308,35.52435684,45.9254837
2016-01-27,21.1353302,34.87419128,45.0892067
2016-01-28,21.28692055,36.4171524,45.82866287
2016-01-29,22.02219582,37.01450348,48.49598694
2016-02-01,21.81631279,37.46538162,48.16147232
2016-02-02,21.37514687,38.09561539,46.65615082
2016-02-03,21.79821968,36.21736908,45.91669464
2016-02-04,21.9733696,35.27376175,45.7758255
2016-02-05,21.3864994,34.05613327,44.15608215
2016-02-08,21.61168861,34.01478577,43.49586105
2016-02-09,21.60714531,33.78411102,43.38140869
2016-02-10,21.44336891,34.08353806,43.7599411
2016-02-11,21.31371689,34.03321457,43.74232864
2016-02-12,21.37967491,33.99784088,44.45538712
2016-02-16,21.98246574,34.42630386,45.29767609
2016-02-17,22.31912041,35.29318619,46.47688675
2016-02-18,21.89602661,34.74266815,46.27294922
2016-02-19,21.84598541,34.92002869,45.94490814
2016-02-22,22.03705978,35.19654083,46.68081284
2016-02-23,21.538908,34.66793823,45.37747574
2016-02-24,21.85963249,34.85277176,45.53707123
2016-02-25,22.0097599,35.16115952,46.19316483
2016-02-26,22.04388618,35.127285,45.48386765
2016-02-29,21.99383926,34.76359177,45.11148834
2016-03-01,22.86730957,35.8118248,46.61876297
2016-03-02,22.9173584,35.81381607,46.94680023
2016-03-03,23.08795547,35.49346542,46.41483307
2016-03-04,23.43143463,35.41724014,46.13110733
2016-03-07,23.17211914,34.63356018,45.24448395
